WKT,ResourceID,External Cross Reference Number,External Cross Reference Source,External Cross Reference Notes,Primary Reference Number Type,Activity Name,Name Type,Site Name,Activity Type,Description,Description Type,Start Date,End Date,xcoord,ycoord,Location of Archive,Archive Reference Number,Compiler,Date of Compilation,Date of Last Update
POINT (-0.53514471759133 53.2352592813329),5e66ebd5-b6f2-47a8-b00f-4843e6a52ec3,4578,Lincoln Heritage Database Events,,Investigative Activity,"""Watching Brief at Eastgate, junction with Northgate/Priorygate""",Primary,"""Eastgate""",WATCHING BRIEF,"""Construction of new kerbs on south side of Eastgate revealed no surviving archaeological deposits at a depth of 0.3m.""",Summary,1995-01-27,1995-01-27,497869,371915,Lincoln City and County Museum,,John Herridge,1999-04-07,2013-09-18
POINT (-0.520690839800777 53.2394587443331),57be7084-a2d0-4fc7-86e6-61f9436774dd,4579,Lincoln Heritage Database Events,,Investigative Activity,"""Watching Brief at Wragby Road""",Primary,"""Wragby Road (Darwin Court)""",WATCHING BRIEF,"""Foundation trenches for houses revealed no surviving archaeological deposits at a depth of 1.5m. except possible medieval/post-medieval arable farming at a depth of 0.4 to 0.8m.""",Summary,1995-03-17,1995-03-20,498824,372402,Lincoln City and County Museum,,John Herridge,1999-04-07,2013-09-18
POINT (-0.544244911317269 53.2311276583706),8f42bf07-7e8a-400e-8ef7-0ba8adbffd8b,4580,Lincoln Heritage Database Events,,Investigative Activity,"""Watching Brief at Orchard Street""",Primary,"""34 Orchard Street""",WATCHING BRIEF,"""Foundation trenches for extension to Lincs C C block to the south of 34 Orchard Street revealed no surviving archaeological deposits at a depth of 0.4m.""",Summary,1995-03-17,1995-03-20,497271,371443,Lincoln City and County Museum,,John Herridge,1999-04-07,2013-09-18
POINT (-0.53697811707634 53.2342210203664),2a2bd157-de39-46e9-8d8d-572efbc0ecf5,4581,Lincoln Heritage Database Events,,Investigative Activity,"""Watching Brief at Minster Yard""",Primary,"""Lincoln Cathedral""",WATCHING BRIEF,"""Archaeological monitoring and recording (watching brief). Excavation of a trench in the corner between the east wall of the south porch and the external south wall of the nave, for the extension of a drainpipe, revealed no surviving archaeological deposits at a depth of 0.4m.""",Summary,1995-04-11,1995-04-11,497749,371797,Lincoln City and County Museum,,John Herridge,1999-04-07,2013-09-18
POINT (-0.556753773960344 53.2405121020942),6086eba2-d20f-420a-8efb-ea5e05bd91c8,4583,Lincoln Heritage Database Events,,Investigative Activity,"""Watching Brief at Long Leys Road""",Primary,"""The Garden House, Long Leys Road""",WATCHING BRIEF,"""Foundation trenches for a house revealed mottled grey and brown clays, with undisturbed dark blue-grey clay at c1m. below ground. A brick waster and brick found in one trench was probably redeposited. The Albion Brick works was across the road to east c1893-30. (MON6267)""",Summary,1995-05-17,1995-05-18,496415,372470,Lincoln City and County Museum,,John Herridge,1999-04-08,2013-09-18
POINT (-0.565830318924323 53.2065689652864),11dc5666-95fc-4db0-bff1-9196fbd6828b,4584,Lincoln Heritage Database Events,,Investigative Activity,"""Casual Observation at Westwick Gardens""",Primary,"""101 Westwick Gardens""",CASUAL OBSERVATION,"""Post-medieval pottery found in rear garden of property during surface pipe replacement.""",Summary,1995-06-06,1995-06-06,495885,368682,Lincoln City and County Museum,,John Herridge,1999-04-08,2013-09-18
POINT (-0.550741759223585 53.2255163909986),66a09947-20a4-4efa-ab90-9c078ddea631,4585,Lincoln Heritage Database Events,,Investigative Activity,"""Casual Observation at Ropewalk/Beevor Street""",Primary,"""Ropewalk/Beevor Street""",CASUAL OBSERVATION,"""Roman tile and medieval pottery found during excavations in Victorian rubbish dump by LOBCC (bottle collectors club).""",Summary,1995-01-01,1995-12-31,496850,370810,Lincoln City and County Museum,,John Herridge,1999-04-08,2013-09-18
POINT (-0.539116206691884 53.2312716734002),17749e6e-70a6-4d51-b057-17d733814d34,4586,Lincoln Heritage Database Events,,Investigative Activity,"""Geotechnical Test Pit at High Street/Grantham Street""",Primary,"""269 High Street (Pizza Express)""",GEOTECHNICAL TEST PIT,"""Archaeological evaluation of three geotechnical trial pits in advance of proposed building work at rear of property. An east-west limestone wall was found.  (See RE4421)""",Summary,1996-02-26,1996-02-26,497613,371466,Lincoln City and County Museum,,John Herridge,1999-04-08,2013-09-18
POINT (-0.544843062338641 53.2201136635436),a73a7004-fc34-46a9-95dc-25006ec6ae4e,4587,Lincoln Heritage Database Events,,Investigative Activity,"""Watching Brief at High Street""",Primary,"""Gowts Bridge, High Street""",WATCHING BRIEF,"""Intermittent observation during the removal of bank and abutments for old bridge. Contractor removed to ground level with no/very limited ground disturbance.""",Summary,1995-09-01,1995-09-29,497256,370217,Lincoln City and County Museum,,John Herridge,1999-04-08,2013-09-18
POINT (-0.536943659433536 53.2369894049048),cdf87585-8bf9-4d83-b759-0a71d2df6ba1,4588,Lincoln Heritage Database Events,,Investigative Activity,"""Watching Brief at East Bight""",Primary,"""East Bight, Information board""",WATCHING BRIEF,"""Observation of hole dug for post for information board at south end of property at gate at roadside. A modern east-west stone wall was revealed. Depth of hole , 0.75m""",Summary,1996-03-11,1996-03-11,497745,372105,Lincoln City and County Museum,,John Herridge,1999-04-08,2013-09-18
POINT (-0.539867053497942 53.2373848342212),498a58c9-b14d-4417-8104-a4fc6d47eb9e,4589,Lincoln Heritage Database Events,,Investigative Activity,"""Watching Brief at Cecil Street""",Primary,"""Mary Sookias House, Cecil Street,  Information board""",WATCHING BRIEF,"""Observation of hole dug for post for information board to north of east-west brick retaining wall. Stratigraphy had been disturbed by this wall and electricity cable. Depth of 0.55m.""",Summary,1996-03-11,1996-03-11,497549,372145,Lincoln City and County Museum,,John Herridge,1999-04-08,2013-09-18
POINT (-0.543405054154742 53.2311533568731),b422fcfd-8dbe-41ec-9c3a-6e8a1d2daaa2,4590,Lincoln Heritage Database Events,,Investigative Activity,"""Watching Brief at Beaumont Fee""",Primary,"""Lower West Gate at City Hall, Beaumont Fee""",WATCHING BRIEF,"""Observation of hole dug for post for information board to north of Lower West Gate. No evidence of stratigraphy. Depth of 0.55m.""",Summary,1996-03-11,1996-03-11,497327,371447,Lincoln City and County Museum,,John Herridge,1999-04-08,2013-09-18
POINT (-0.543074420603947 53.2369206584952),10a03756-f8e6-41a2-8f7b-4a66ed35dd7e,4591,Lincoln Heritage Database Events,,Investigative Activity,"""Watching Brief at Cuthberts Yard/ Burton Road""",Primary,"""Mark Popham Car Sales""",WATCHING BRIEF,"""Archaeological monitoring and recording (watching brief) on removal of wall, and 300mm of topsoil, on south side of car lot on east side of sales entrance from Burton Road.  No archaeological finds or features were present.""",Summary,1997-07-01,1997-07-31,497336,372089,Lincoln City and County Museum,,John Herridge,1999-04-09,2013-09-18
POINT (-0.540918858196009 53.2368583352736),0cae33d8-6692-4139-bd33-9fb0608bfa9c,4592,Lincoln Heritage Database Events,,Investigative Activity,"""Watching Brief at Chapel Lane/Westgate""",Primary,"""Wickham Gardens, bowling green""",WATCHING BRIEF,"""Archaeological monitoring and recording (watching brief) on excavation of c.50 holes dug to a depth of c.300mm for posts of new perimeter fence around bowling green. A mid-brown sandy soil was seen in sections.""",Summary,1998-02-09,1998-02-09,497480,372085,Lincoln City and County Museum,,John Herridge,1999-04-09,2013-09-18
POINT (-0.53891707248267 53.2362405008169),f7b79b8a-4236-4b77-bf55-95b6f8370787,4593,Lincoln Heritage Database Events,,Investigative Activity,"""Photographic Survey at Bailgate""",Primary,"""34 Bailgate, Bail Rest Home, summerhouse""",PHOTOGRAPHIC SURVEY,"""Building and photographic survey of summerhouse/folly in rear garden after damage by high winds in Jan 1999""",Summary,1999-01-29,1999-01-29,497615,372019,Lincoln City and County Museum,,John Herridge,1999-04-09,2013-09-18
POINT (-0.548097840124361 53.2306083047815),a3aa0a3b-54b7-4b78-a7c4-7e6918d7c1d0,4595,Lincoln Heritage Database Events,,Investigative Activity,"""Watching Brief at Carholme Road/Brayford Wharf North""",Primary,"""City Centre Storm Water Pumping Station""",WATCHING BRIEF,"""Archaeological monitoring and recording (watching brief) during groundworks for the construction of a pumping station.""",Summary,1997-10-01,1997-10-31,497015,371380,Lincoln City and County Museum,261.97,John Herridge,1999-05-11,
POINT (-0.548211260793132 53.2307984684649),57885d3b-5d7f-4981-9e93-af43ba930461,4596,Lincoln Heritage Database Events,,Investigative Activity,"""Watching Brief at Carholme Road north side""",Primary,"""City Centre Storm Water Pumping Station""",WATCHING BRIEF,"""Archaeological monitoring and recording (watching brief) during groundworks for the construction of a pumping station. Area 1. Main pumping station consisting of two circular pumping chambers 10.67m and 4m in diameter, the larger having a shaft 15m deep; also single-storey control building. Natural sand at c.4.8m OD was overlain by sandy silt and modern deposits.""",Summary,1997-10-01,1997-10-31,497007,371401,Lincoln City and County Museum,261.97,John Herridge,1999-05-11,
POINT (-0.548103616036859 53.2304375721801),a9cad5be-2de5-4776-9b07-54a89575f80c,4597,Lincoln Heritage Database Events,,Investigative Activity,"""Watching Brief at Carholme Road south side/Brayford Wharf North""",Primary,"""City Centre Storm Water Pumping Station""",WATCHING BRIEF,"""Archaeological monitoring and recording (watching brief) during groundworks for the construction of a pumping station. Area 2. Intermediate pumping chamber. Limestone walls were found, probably relating to the gasholder or surrounding wall of the 19th-century Gas Works as seen on Padley 1842 map.""",Summary,1997-10-01,1997-10-31,497015,371361,Lincoln City and County Museum,261.97,John Herridge,1999-05-11,2008-12-05
POINT (-0.535483055987418 53.2354432313367),209435f3-e1e1-4037-b077-0d33b701f44f,4599,Lincoln Heritage Database Events,,Investigative Activity,"""Excavation at Eastgate""",Primary,"""East Gate""",EXCAVATION,"""Excavation of east gate of Upper City""",Summary,1959-01-01,1962-12-31,497846,371935,,,John Herridge,1999-08-05,
POINT (-0.536068261804011 53.2336614818837),02b43f8d-9b18-4f2d-86f8-5f7b14261fac,4600,Lincoln Heritage Database Events,,Investigative Activity,"""Excavation at Minster Yard""",Primary,"""Subdeanery""",EXCAVATION,"""Excavation site. Trench 1; eastern trench.""",Summary,1955-01-01,1955-12-31,497811,371736,,,John Herridge,1999-08-05,2013-09-18
POINT (-0.550959584164519 53.2048608286378),b6784543-bc2b-4207-b1d3-3a873e7b36e9,4603,Lincoln Heritage Database Events,,Investigative Activity,"""Field Visit at 150 Newark Road""",Primary,"""Tram Depot 150 Newark Road""",FIELD VISIT,"""Observation and photographic recording of Tram rail.""",Summary,2002-11-19,2002-11-19,496882,368512,Lincoln City and County Museum,,John Herridge,2002-11-19,
POINT (-0.541459321176846 53.2266886826039),7f50ac9b-3864-479c-8ed1-258767d007f8,4608,Lincoln Heritage Database Events,,Investigative Activity,"""Casual Observation at St Marys Street / High Street""",Primary,"""St Mary le Wigford Church Cemetery""",CASUAL OBSERVATION,"""Lincoln Gazette reported discovery of gravestones during repositioning of St Marys Conduit westwards to present site in 1864. The inscriptions were considered to date back to the 14th century.""",Summary,,,497467,370953,,,John Herridge,1999-09-06,
POINT (-0.543038981684377 53.2322276389265),483e9588-5ba7-4038-8856-dd7dc60a82ba,4627,Lincoln Heritage Database Events,,Investigative Activity,"""Casual Observation at Beaumont Fee/Motherby Hill?""",Primary,"""Beaumont Fee (near)""",CASUAL OBSERVATION,"""Discovery of postern gate in town wall.""",Summary,,,497349,371567,,,John Herridge,1999-10-15,2000-02-25
POINT (-0.538066163996485 53.2352681774927),591b1085-cfbe-4389-9f4d-672455557251,4631,Lincoln Heritage Database Events,,Investigative Activity,"""Watching Brief at 5/6 Eastgate""",Primary,"""Residential development, rear of 5/6 Eastgate""",WATCHING BRIEF,"""Archaeological monitoring and recording (watching brief) during groundworks (foundation trenches and a combined services trench) for the construction of two houses. The work did not impact on any archaeological deposits. Depth not recorded except as ""shallow"", perhaps 30-40cm?""",Summary,1998-02-03,1998-10-07,497674,371912,Lincoln City and County Museum,75.98,John Herridge,2000-01-17,2010-02-22
POINT (-0.539552565087008 53.2351785221724),a0a9844b-43ed-4b7b-b1e0-eab28d9c48da,4632,Lincoln Heritage Database Events,,Investigative Activity,"""Watching Brief at St Pauls Lane""",Primary,"""CCTV Installation, St Pauls Lane""",WATCHING BRIEF,"""Archaeological monitoring and recording (watching brief) during groundworks (a foundation trench and a ducting trench) for the installation of a closed-circuit TV mast. The work revealed stone and brick walls of properties in Georges Place (as seen on 1888 OS map) but no c. pre-1800 archaeological deposits.""",Summary,1998-03-24,1998-03-24,497575,371900,Lincoln City and County Museum,89.98,John Herridge,2000-01-17,2008-12-04
POINT (-0.550502032566333 53.2326152825106),6f753bc8-d1d5-47fc-b602-d535e95f7db8,4633,Lincoln Heritage Database Events,,Investigative Activity,"""Watching Brief at Newland Street West/West Parade area""",Primary,"""Northern Subsidiary Sewer Scheme, Lincoln""",WATCHING BRIEF,"""Archaeological monitoring and recording (watching brief) during groundworks for sewers replacement.""",Summary,1997-09-02,1997-11-17,496850,371600,Lincoln City and County Museum,212.97,John Herridge,2000-01-17,2008-12-05
POINT (-0.550038581105508 53.2321421854944),5d89309e-aeb2-4d9e-88ce-13be91cd729f,4634,Lincoln Heritage Database Events,,Investigative Activity,"""Watching Brief at Newland Street West""",Primary,"""Northern Subsidiary Sewer Scheme, Lincoln""",WATCHING BRIEF,"""Archaeological monitoring and recording (watching brief) during groundworks for sewers replacement. Area 1: Newland Street West.""",Summary,1997-09-02,1997-11-17,496882,371548,Lincoln City and County Museum,212.97,John Herridge,2000-01-17,2008-12-05
POINT (-0.549533625382673 53.2333406517654),c5f0996f-dfda-4f89-b1ad-720a7233eb92,4635,Lincoln Heritage Database Events,,Investigative Activity,"""Watching Brief at West Parade""",Primary,"""Northern Subsidiary Sewer Scheme, Lincoln""",WATCHING BRIEF,"""Archaeological monitoring and recording (watching brief) during groundworks for sewers replacement. Area 2: West Parade.""",Summary,1997-09-02,1997-11-17,496913,371682,Lincoln City and County Museum,212.97,John Herridge,2000-01-17,2008-12-05
POINT (-0.550684584439376 53.2329770871548),b908cc1e-9499-4bf7-a350-613fe3bb6efd,4636,Lincoln Heritage Database Events,,Investigative Activity,"""Watching Brief at Charles Street West""",Primary,"""Northern Subsidiary Sewer Scheme, Lincoln""",WATCHING BRIEF,"""Archaeological monitoring and recording (watching brief) during groundworks for sewers replacement. Area 3: Charles Street West. No structures were recorded. A piece of moulded stone was recovered from an unstratified context.""",Summary,1997-09-02,1997-11-17,496837,371640,Lincoln City and County Museum,212.97,John Herridge,2000-01-17,2008-12-05
POINT (-0.550262309786636 53.2308414110583),eea36567-e554-4cab-8480-afe1067d3acd,4637,Lincoln Heritage Database Events,,Investigative Activity,"""Watching Brief at Foss Street""",Primary,"""Northern Subsidiary Sewer Scheme, Lincoln""",WATCHING BRIEF,"""Archaeological monitoring and recording (watching brief) during groundworks for sewers replacement. Area 4: Foss Street. Only natural sand and modern deposits were observed""",Summary,1997-09-02,1997-11-17,496870,371403,Lincoln City and County Museum,212.97,John Herridge,2000-01-17,2008-12-05
POINT (-0.550768963507602 53.23180946199),e1fced82-a102-4d95-91b2-079068d79241,4638,Lincoln Heritage Database Events,,Investigative Activity,"""Watching Brief at Nelson Street/Wellington Street/Harvey Street""",Primary,"""Northern Subsidiary Sewer Scheme, Lincoln""",WATCHING BRIEF,"""Archaeological monitoring and recording (watching brief) during groundworks for sewers replacement. Area 5: Nelson Street/Wellington Street/Harvey Street. No direct observation was possible due to trenching methodology. The new trenching mainly followed the line of existing pipework.""",Summary,1997-09-02,1997-11-17,496834,371510,Lincoln City and County Museum,212.97,John Herridge,2000-01-17,2008-12-05
POINT (-0.541032525210338 53.2339560759377),30784e07-b9f0-41c2-8076-32e6412393b3,4639,Lincoln Heritage Database Events,,Investigative Activity,"""Watching Brief at Drury Lane""",Primary,"""16 Drury Lane: extensions to""",WATCHING BRIEF,"""Archaeological monitoring and recording (watching brief) during the building of two extensions on the east and west sides of the house. Foundation trenches reached a maximum depth of 0.6m. Only modern levels were disturbed with no archaeological levels observed.""",Summary,1998-08-26,1998-10-16,497479,371762,Lincoln City and County Museum,209.98,John Herridge,2000-01-20,
POINT (-0.539982025308716 53.2335656491121),3037d2d0-17da-4443-b8b0-6c8cd8b0d42e,4640,Lincoln Heritage Database Events,,Investigative Activity,"""Building Survey at Wordsworth Street""",Primary,"""Chad Varah House, De Montford House, Lincoln""",BUILDING SURVEY,"""In the west wing, ground floor of former dining room. Recording of reused roof timbers removed for replacement by steel joists.""",Summary,1998-07-16,1998-07-23,497550,371720,Lincoln City and County Museum,181.98,John Herridge,2000-01-20,
POINT (-0.540445378518948 53.2327173082797),387a9594-624f-4d82-a5a2-5ab45e15871f,4641,Lincoln Heritage Database Events,,Investigative Activity,"""Watching Brief at Stanthaket Court/Michaelgate/Spring Hill""",Primary,"""Residential Development, Michaelgate""",WATCHING BRIEF,"""Archaeological monitoring and recording (watching brief) in advance of building of houses in Stanthaket Court""",Summary,1997-06-02,1998-02-27,497521,371625,Lincoln City and County Museum,134.97,John Herridge,2000-01-20,
POINT (-0.540815505901776 53.2328476946336),b4d38eab-c86a-4fde-8ec6-612c4ccad3b4,4642,Lincoln Heritage Database Events,,Investigative Activity,"""Watching Brief at Stanthaket Court/Michaelgate/Spring Hill""",Primary,"""Residential Development, Michaelgate""",WATCHING BRIEF,"""Archaeological monitoring and recording (watching brief) in advance of building of houses in Stanthaket Court. Area 1 of seven. Plot 1/2.""",Summary,1997-06-02,1998-02-27,497496,371639,Lincoln City and County Museum,134.97,John Herridge,2000-01-20,
POINT (-0.540473802833048 53.2327626044931),87299cc1-93d8-4ade-907c-73c1031ca7d7,4643,Lincoln Heritage Database Events,,Investigative Activity,"""Watching Brief at Stanthaket Court/Michaelgate/Spring Hill""",Primary,"""Residential Development, Michaelgate""",WATCHING BRIEF,"""Archaeological monitoring and recording (watching brief) in advance of building of houses in Stanthaket Court. Area 2 of seven. Plot 3.""",Summary,1997-06-02,1998-02-27,497519,371630,Lincoln City and County Museum,134.97,John Herridge,2000-01-20,
POINT (-0.540209733092543 53.2325975574139),d4893d57-422c-44ad-907f-92de976738bf,4644,Lincoln Heritage Database Events,,Investigative Activity,"""Watching Brief at Stanthaket Court/Michaelgate/Spring Hill""",Primary,"""Residential Development, Michaelgate""",WATCHING BRIEF,"""Archaeological monitoring and recording (watching brief) in advance of building of houses in Stanthaket Court. Area 3 of seven. Plot 4.""",Summary,1997-06-02,1998-02-27,497537,371612,Lincoln City and County Museum,134.97,John Herridge,2000-01-20,
POINT (-0.540510173054616 53.2325742674868),0dcae76f-2888-42bc-9c35-9d3848a9eb3d,4645,Lincoln Heritage Database Events,,Investigative Activity,"""Watching Brief at Stanthaket Court/Michaelgate/Spring Hill""",Primary,"""Residential Development, Michaelgate""",WATCHING BRIEF,"""Archaeological monitoring and recording (watching brief) in advance of building of houses in Stanthaket Court. Area 4 of seven. Plot 5.""",Summary,1997-06-02,1998-02-27,497517,371609,Lincoln City and County Museum,134.97,John Herridge,2000-01-20,
POINT (-0.540747346999173 53.2326490882948),befc185a-2b93-4b95-8ac5-26dc9f5c66da,4646,Lincoln Heritage Database Events,,Investigative Activity,"""Watching Brief at Stanthaket Court/Michaelgate/Spring Hill""",Primary,"""Residential Development, Michaelgate""",WATCHING BRIEF,"""Archaeological monitoring and recording (watching brief) in advance of building of houses in Stanthaket Court. Area 5 of seven. Plot 6.""",Summary,1997-06-02,1998-02-27,497501,371617,Lincoln City and County Museum,134.97,John Herridge,2000-01-20,
POINT (-0.540625704084464 53.2327015368827),84b19839-4cbf-4700-a505-6922b3a8f1a9,4647,Lincoln Heritage Database Events,,Investigative Activity,"""Watching Brief at Stanthaket Court/Michaelgate/Spring Hill""",Primary,"""Residential Development, Michaelgate""",WATCHING BRIEF,"""Archaeological monitoring and recording (watching brief) in advance of building of houses in Stanthaket Court. Area 6 of seven. Combined Services Trench.""",Summary,1997-06-02,1998-02-27,497509,371623,Lincoln City and County Museum,134.97,John Herridge,2000-01-20,
POINT (-0.540758962056232 53.2327481164649),060a8edf-1de1-486e-b431-99e987df83aa,4648,Lincoln Heritage Database Events,,Investigative Activity,"""Watching Brief at Stanthaket Court/Michaelgate/Spring Hill""",Primary,"""Residential Development, Michaelgate""",WATCHING BRIEF,"""Archaeological monitoring and recording (watching brief) in advance of building of houses in Stanthaket Court. Area 17 of seven. Access roads""",Summary,1997-06-02,1998-02-27,497500,371628,Lincoln City and County Museum,134.97,John Herridge,2000-01-20,
POINT (-0.537062972255578 53.2356873723738),109a5587-2c15-4dbc-a87a-29ecff4d0b0c,4649,Lincoln Heritage Database Events,,Investigative Activity,"""Watching Brief at Cottesford Place / James Street / Bailgate""",Primary,"""3 Cottesford Place""",WATCHING BRIEF,"""Archaeological monitoring and recording (watching brief) of groundworks for a garage and extension. Shallow trenches (0.3m deep maximum) did not impact on pre-late 19th century levels.""",Summary,1998-07-16,1998-10-06,497740,371960,Lincoln City and County Museum,160.98,John Herridge,2000-01-21,
POINT (-0.539975373820564 53.2240725069443),b81b4142-1af6-47cf-9c5c-c1398c57d471,4650,Lincoln Heritage Database Events,,Investigative Activity,"""Watching Brief at Tentercroft Street""",Primary,"""City Medical Practice, off Tentercroft Street""",WATCHING BRIEF,"""Archaeological monitoring and recording (watching brief) of groundworks for a medical centre. Only post-medieval dumps and modern deposits were observed. Bricks in the dumps probably came from the railway goods shed (MON6580)""",Summary,1998-01-15,1998-02-18,497572,370664,Lincoln City and County Museum,11.98,John Herridge,2000-01-21,2013-01-02
POINT (-0.535634265014304 53.2279387382007),6bf0aa37-1425-4c8e-91cb-f6a35de724b6,4651,Lincoln Heritage Database Events,,Investigative Activity,"""Watching Brief at Waterside South""",Primary,"""Doughtys Mill, Phase 3""",WATCHING BRIEF,"""Archaeological monitoring and recording (watching brief) of groundworks for conversion of mill into residential apartments. Enabling works, piling and internal works and drainage trenches were monitored.""",Summary,1997-12-22,1998-09-25,497853,371100,Lincoln City and County Museum,303.97,John Herridge,2000-01-21,2009-02-10
POINT (-0.538975220770563 53.2340926912536),6f750762-bb1e-4f10-b92e-12683a2d6723,4652,Lincoln Heritage Database Events,,Investigative Activity,"""Watching Brief at 30-32 Steep Hill""",Primary,"""30-32 Steep Hill""",WATCHING BRIEF,"""Archaeological monitoring and recording (watching brief) during refurbishment and structural alterations including six deep pits for foundation pads.""",Summary,1998-09-11,1998-09-28,497616,371780,Lincoln City and County Museum,223.98,John Herridge,2000-01-21,
POINT (-0.538961467895805 53.2340565641495),6e24de1c-e560-417d-8c26-677e21ac7d67,4653,Lincoln Heritage Database Events,,Investigative Activity,"""Watching Brief at 30 Steep Hill""",Primary,"""30-32 Steep Hill""",WATCHING BRIEF,"""Archaeological monitoring and recording (watching brief) during refurbishment and structural alterations. Pit 1 of six. Pit 1. Only recorded photographically and no structures seen.""",Summary,1998-09-11,1998-09-28,497617,371776,Lincoln City and County Museum,223.98,John Herridge,2000-01-21,
POINT (-0.539006091926171 53.2340661007258),0e87d4aa-e2e3-4469-862d-0cbf8a991abf,4654,Lincoln Heritage Database Events,,Investigative Activity,"""Watching Brief at 30 Steep Hill""",Primary,"""30-32 Steep Hill""",WATCHING BRIEF,"""Archaeological monitoring and recording (watching brief) during refurbishment and structural alterations. Pit 2 of six. Pit 2. Only recorded photographically and no structures seen.""",Summary,1998-09-11,1998-09-28,497614,371777,Lincoln City and County Museum,223.98,John Herridge,2000-01-21,
POINT (-0.539021986392718 53.2340393266316),a6f934d6-aede-4bdf-89fe-fa7ad88b34f8,4655,Lincoln Heritage Database Events,,Investigative Activity,"""Watching Brief at 30 Steep Hill""",Primary,"""30-32 Steep Hill""",WATCHING BRIEF,"""Archaeological monitoring and recording (watching brief) during refurbishment and structural alterations. Pit 3 of six. Pit 3. Evidence of Roman occupation through to modern was observed, but with no structures.""",Summary,1998-09-11,1998-09-28,497613,371774,Lincoln City and County Museum,223.98,John Herridge,2000-01-21,
POINT (-0.539020456714101 53.2340842560555),0f3c9bf1-a9dd-4954-a1d0-e33fd477f2f3,4656,Lincoln Heritage Database Events,,Investigative Activity,"""Watching Brief at 32 Steep Hill""",Primary,"""30-32 Steep Hill""",WATCHING BRIEF,"""Archaeological monitoring and recording (watching brief) during refurbishment and structural alterations. Pit 4 of six. Pit 4.""",Summary,1998-09-11,1998-09-28,497613,371779,Lincoln City and County Museum,223.98,John Herridge,2000-01-21,
POINT (-0.539065386713498 53.234084806725),ecd6b0c9-f129-411b-b061-3d3caf00a941,4657,Lincoln Heritage Database Events,,Investigative Activity,"""Watching Brief at 32 Steep Hill""",Primary,"""30-32 Steep Hill""",WATCHING BRIEF,"""Archaeological monitoring and recording (watching brief) during refurbishment and structural alterations. Pit 5 of six. Pit 5.""",Summary,1998-09-11,1998-09-28,497610,371779,Lincoln City and County Museum,223.98,John Herridge,2000-01-21,
POINT (-0.539033597779456 53.2341383549225),a64a238c-b77f-46ac-a4cd-5b206414c345,4658,Lincoln Heritage Database Events,,Investigative Activity,"""Watching Brief at 32 Steep Hill""",Primary,"""30-32 Steep Hill""",WATCHING BRIEF,"""Archaeological monitoring and recording (watching brief) during refurbishment and structural alterations. Pit 6 of six. Pit 6.""",Summary,1998-09-11,1998-09-28,497612,371785,Lincoln City and County Museum,223.98,John Herridge,2000-01-21,
POINT (-0.540919649391479 53.227140549277),c9153e43-fa13-454b-8e40-986880dcaf20,4659,Lincoln Heritage Database Events,,Investigative Activity,"""Watching Brief at 323 High Street""",Primary,"""323 High Street""",WATCHING BRIEF,"""Archaeological monitoring and recording (watching brief) during the excavation of 12 trial pits at pile-cap locations, part of groundworks for conversion of the building to an HMV retail shop.""",Summary,1998-09-25,1998-11-06,497502,371004,Lincoln City and County Museum,224.98,John Herridge,2000-01-21,2008-12-08
POINT (-0.541024163748198 53.2271508182646),0a84d248-deeb-4c27-a069-d3b32ffc2f33,4660,Lincoln Heritage Database Events,,Investigative Activity,"""Watching Brief at 323 High Street""",Primary,"""323 High Street""",WATCHING BRIEF,"""Archaeological monitoring and recording (watching brief) during the excavation of trial pits at pile-cap locations, part of groundworks for conversion of the building to an HMV retail shop. Basement: Trial pit 1 of twelve. Trial pit 1. Excavated to depth of 0.7m. Archaeological deposits were recorded, but there was no dating evidence.""",Summary,1998-09-25,1998-11-06,497495,371005,Lincoln City and County Museum,224.98,John Herridge,2000-01-21,2008-12-08
POINT (-0.540963350351191 53.2271770427937),b95357fe-8382-450f-9cc7-dc284f1c9cae,4661,Lincoln Heritage Database Events,,Investigative Activity,"""Watching Brief at 323 High Street""",Primary,"""323 High Street""",WATCHING BRIEF,"""Archaeological monitoring and recording (watching brief) during the excavation of trial pits at pile-cap locations, part of groundworks for conversion of the building to an HMV retail shop. Basement: Trial pit 2 of twelve. Trial pit 2. Excavated to depth of 0.7m. Archaeological deposits, with charcoal, were recorded, but there was no dating evidence except a sherd of Roman samian from an unstratified deposit.""",Summary,1998-09-25,1998-11-06,497499,371008,Lincoln City and County Museum,224.98,John Herridge,2000-01-21,2012-03-29
POINT (-0.540996353344844 53.2270875503558),7f256a2b-b8c0-4e2b-8cc7-88f490cdfe18,4662,Lincoln Heritage Database Events,,Investigative Activity,"""Watching Brief at 323 High Street""",Primary,"""323 High Street""",WATCHING BRIEF,"""Archaeological monitoring and recording (watching brief) during the excavation of trial pits at pile-cap locations, part of groundworks for conversion of the building to an HMV retail shop. Basement: Trial pit 3 of twelve. Trial pit 3. Excavated to depth of 0.5m. Archaeological deposits, including charcoal, were recorded, but there was little dating evidence, apart from pieces of possibly Roman tile and an unstratified sherd of Lincoln ware of the early 13th-mid 14th centuries.""",Summary,1998-09-25,1998-11-06,497497,370998,Lincoln City and County Museum,224.98,John Herridge,2000-01-21,2008-12-08
